Initial Seeds,,,,,,,,,,,,,,,,
Cluster,DATA_USED_1MONTH,DATA_1MONTH_TO_DEACT,NUM_IVR_CALLS,AVG_IVR_DURATION,TOTAL_CALLS_MADE_1MONTH,CALLS_1MONTH_TO_DEACT,NUM_DROPPED_CALLS,tenure,SUB_LPAY_AMT,hh_income,NUM_PAYMENTS,prev_rev_amt,PLAN_REVENUE_AMT,total_data,total_messages,total_minutes
1,-0.34626894,-0.197811,-0.4817333,-0.23912271,5.43691916,8.1363797,-0.21595432,-0.12552981,0.27601376,-0.3292479,-0.43533103,0.86463265,1.39489647,-0.53026289,-0.55135128,1.15476716
2,1.59881784,-0.25144126,-0.4817333,-0.51594394,-1.05528525,-0.40549409,-0.21595432,-0.74119701,8.00760844,0.09466051,-0.6747177,-0.25052385,2.49108074,-0.15478985,-0.62994911,-0.73204445
3,0.1118412,-0.37747164,-0.55075227,-0.67165588,-0.51356285,-0.41675563,15.64249113,0.15431892,7.99055016,4.12179037,-0.59492214,0.3070544,0.29871221,0.98759002,-0.31515372,0.18167526
4,4.82761214,5.63007177,-0.61977124,-0.17238907,-1.06657113,-0.41112486,-0.21595432,-0.89977795,1.0998447,-0.3292479,7.70381568,-1.36568036,-0.24937992,0.90967103,-0.62813065,-0.73246777
5,-0.71403146,-0.37747164,3.86646195,0.3264976,2.7621648,-0.41675563,8.41104001,-0.07888836,-0.95050441,0.09466051,-0.19594436,0.3070544,-0.24937992,-0.55911222,0.32090269,4.81749216
6,-0.66896006,4.56807759,-0.20565741,1.49100998,-0.60949286,0.6249363,-0.21595432,1.33901185,-2.10878947,-0.6471792,0.36262453,-1.36568036,0.29871221,0.11956181,7.34722469,-0.21977699
,,,,,,,,,,,,,,,,
Criterion Based on Final Seeds =,0.894,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cluster Summary,,,,,,,,,,,,,,,,
Cluster,Frequency,RMS Std Deviation,Maximum Distance,Radius,Nearest Cluster,Distance Between,,,,,,,,,,
,,,from Seed,Exceeded,,Cluster Centroids,,,,,,,,,,
,,,to Observation,,,,,,,,,,,,,
1,684,1.0193,10.6366,,2,3.282,,,,,,,,,,
2,3906,0.7206,8.3639,,6,2.4534,,,,,,,,,,
3,25,1.3127,7.7355,,5,9.8706,,,,,,,,,,
4,374,1.2645,9.4775,,6,3.5769,,,,,,,,,,
5,358,1.2379,10.0574,,6,3.0143,,,,,,,,,,
6,1508,0.9552,9.3042,,2,2.4534,,,,,,,,,,
,,,,,,,,,,,,,,,,
Statistics for Variables,,,,,,,,,,,,,,,,
Variable,Total STD,Within STD,R-Square,RSQ/(1-RSQ),,,,,,,,,,,,
DATA_USED_1MONTH,1,0.98049,0.039345,0.040956,,,,,,,,,,,,
DATA_1MONTH_TO_DEACT,1,0.92455,0.14583,0.170727,,,,,,,,,,,,
NUM_IVR_CALLS,1,0.87299,0.238449,0.313109,,,,,,,,,,,,
AVG_IVR_DURATION,1,0.96147,0.076256,0.082551,,,,,,,,,,,,
TOTAL_CALLS_MADE_1MONTH,1,0.77599,0.398276,0.661892,,,,,,,,,,,,
CALLS_1MONTH_TO_DEACT,1,0.73575,0.459067,0.848658,,,,,,,,,,,,
NUM_DROPPED_CALLS,1,0.64745,0.581117,1.387301,,,,,,,,,,,,
tenure,1,0.78955,0.377059,0.605288,,,,,,,,,,,,
SUB_LPAY_AMT,1,0.98104,0.038259,0.039781,,,,,,,,,,,,
hh_income,1,0.9954,0.009908,0.010007,,,,,,,,,,,,
NUM_PAYMENTS,1,0.72619,0.473038,0.89767,,,,,,,,,,,,
prev_rev_amt,1,0.99942,0.00188,0.001883,,,,,,,,,,,,
PLAN_REVENUE_AMT,1,0.99845,0.003822,0.003837,,,,,,,,,,,,
total_data,1,0.92523,0.144567,0.168999,,,,,,,,,,,,
total_messages,1,0.86908,0.245244,0.324932,,,,,,,,,,,,
total_minutes,1,0.77324,0.402529,0.673722,,,,,,,,,,,,
OVER-ALL,1,0.87943,0.227165,0.293938,,,,,,,,,,,,
